Sample,Response,RT,Correct,participant,session,gender,experiment_name,date,
2080,m,1.0933308999999998,1,,001,,Hysterisis,"February 22, 2019",
4060,,,0,,001,,Hysterisis,"February 22, 2019",
4060,n,0.2480535770000003,0,,001,,Hysterisis,"February 22, 2019",
