Sample,Response,RT,Correct,participant,session,gender,experiment_name,date,
2080,m,1.5082118370000002,1,,001,,Hysterisis,"January 25, 2019",
2080,n,0.41272606100000075,0,,001,,Hysterisis,"January 25, 2019",
4060,m,0.6658829480000001,1,,001,,Hysterisis,"January 25, 2019",
4060,n,1.784624568,0,,001,,Hysterisis,"January 25, 2019",
4060,m,1.8485894029999983,1,,001,,Hysterisis,"January 25, 2019",
2080,n,1.4210804569999986,0,,001,,Hysterisis,"January 25, 2019",
2080,,,0,,001,,Hysterisis,"January 25, 2019",
