Sample,Response,RT,Correct,participant,session,gender,experiment_name,date,
0100,,,0,,001,,Hysterisis,"December 13, 2018",
8020,,,0,,001,,Hysterisis,"December 13, 2018",
9010,,,0,,001,,Hysterisis,"December 13, 2018",
2080,,,0,,001,,Hysterisis,"December 13, 2018",
4060,,,0,,001,,Hysterisis,"December 13, 2018",
0100,,,0,,001,,Hysterisis,"December 13, 2018",
2080,,,0,,001,,Hysterisis,"December 13, 2018",
8020,,,0,,001,,Hysterisis,"December 13, 2018",
6040,,,0,,001,,Hysterisis,"December 13, 2018",
1000,,,0,,001,,Hysterisis,"December 13, 2018",
